Path,Name,Sex,Age,Phone,ID_Number,Address,Frontal/Lateral,AP/PA,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Opacity,Lung Lesion,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
CheXpert-v1.0-small/train/patient00009/study1/view1_frontal.jpg,Brent,Male,76,18036800464,431300195112161328,江苏省斌市高明辽阳街B座 299282,Frontal,PA,,,1,,,0,,,1,,,,,
CheXpert-v1.0-small/train/patient00009/study1/view2_lateral.jpg,Ronald,Male,76,18559467904,610582196608276391,云南省海口县长寿陈路A座 311571,Lateral,,,,1,,,0,,,1,,,,,
CheXpert-v1.0-small/train/patient00010/study1/view1_frontal.jpg,Suzanne,Female,50,18911667853,350203196709243278,云南省鹏市沈北新重庆路b座 486946,Frontal,PA,1,0,,0,,,,,,,0,,,
CheXpert-v1.0-small/train/patient00010/study1/view2_lateral.jpg,Vicki,Female,50,18275021997,341722197809257212,云南省东莞市南溪香港路g座 485454,Lateral,,1,0,,0,,,,,,,0,,,
CheXpert-v1.0-small/train/patient00011/study13/view1_frontal.jpg,Maria,Female,22,15057424929,653126195503147596,甘肃省永安县梁平李路r座 567515,Frontal,PA,,0,,,,,0,,0,0,0,,,
CheXpert-v1.0-small/train/patient00011/study13/view2_lateral.jpg,Tiffany,Female,22,13802062359,440114195509174838,河北省永安市浔阳济南路h座 114981,Lateral,,,0,,,,,0,,0,0,0,,,
CheXpert-v1.0-small/train/patient00011/study1/view1_frontal.jpg,Amy,Female,19,14702500483,510422195910170555,内蒙古自治区梧州县黄浦天津路W座 329957,Frontal,AP,,,,1,,,-1,,,-1,-1,,,1
CheXpert-v1.0-small/train/patient00011/study5/view1_frontal.jpg,Laura,Female,19,15524550222,460000198304194898,广西壮族自治区通辽县普陀马路f座 219349,Frontal,AP,,,,1,,,,,,1,,,,
CheXpert-v1.0-small/train/patient00011/study7/view1_frontal.jpg,Laurel,Female,19,14700058450,441781193512257735,浙江省艳县安次柳州街I座 929335,Frontal,AP,,,,1,,0,,,,,,,,1
CheXpert-v1.0-small/train/patient00011/study4/view1_frontal.jpg,Heather,Female,19,13841895705,130983195701086065,江西省佛山县高港北镇路X座 292603,Frontal,AP,,,,1,,,,,-1,1,-1,,,1
CheXpert-v1.0-small/train/patient00011/study2/view1_frontal.jpg,Kathryn,Female,19,18075990111,370901199010165635,贵州省成市金平合肥路s座 778116,Frontal,AP,,,,1,,,1,,,,1,,,1
CheXpert-v1.0-small/train/patient00011/study10/view1_frontal.jpg,Margaret,Female,19,14787298445,420323198209090840,上海市六安市崇文郭路N座 632608,Frontal,AP,,,,1,,1,,,,,1,,,1
CheXpert-v1.0-small/train/patient00011/study9/view1_frontal.jpg,Gilma,Female,19,13412340125,371502197405211348,澳门特别行政区银川市高明淮安路u座 897691,Frontal,AP,,1,,-1,,,,,,,1,,,1
CheXpert-v1.0-small/train/patient00011/study11/view1_frontal.jpg,Stacey,Female,19,18719578629,140881198209232873,浙江省六安县合川潮州街n座 551424,Frontal,AP,,,,1,,1,,,,,1,,,1
CheXpert-v1.0-small/train/patient00011/study8/view1_frontal.jpg,Karen,Female,19,15615104615,211100194809189180,新疆维吾尔自治区红县锡山武汉路y座 775799,Frontal,AP,,,,1,,0,,,,,,,,1
CheXpert-v1.0-small/train/patient00011/study12/view1_frontal.jpg,Rhonda,Female,19,14765079395,330424196909245197,四川省天津市崇文佛山街Q座 334338,Frontal,AP,,,1,,,1,,,1,,1,,,1
CheXpert-v1.0-small/train/patient00011/study3/view1_frontal.jpg,Laura,Female,19,15740207438,620201194111305212,四川省昆明县东城南京路A座 262795,Frontal,AP,,,,1,,,,,,1,,,,1
CheXpert-v1.0-small/train/patient00011/study6/view1_frontal.jpg,Aleida,Female,19,15518629666,140502198607013527,贵州省天津县华龙杨街Q座 397898,Frontal,AP,,,,1,,,,,,1,,,,
CheXpert-v1.0-small/train/patient00012/study3/view1_frontal.jpg,Kiara,Female,61,18888725571,220211196509274126,澳门特别行政区辽阳县清城胡街S座 773767,Frontal,PA,,0,,,,,0,0,,0,1,,,1
CheXpert-v1.0-small/train/patient00012/study3/view2_lateral.jpg,Becky,Female,61,13290671516,321204193702121815,湖南省太原市浔阳马鞍山街G座 553234,Lateral,,,0,,,,,0,0,,0,1,,,1
CheXpert-v1.0-small/train/patient00012/study2/view1_frontal.jpg,Risa,Female,55,15397206257,542430199308177047,甘肃省坤市南长王路l座 743488,Frontal,PA,,-1,-1,0,,,0,,,,0,,,1
CheXpert-v1.0-small/train/patient00012/study2/view2_lateral.jpg,Goldie,Female,55,14721842050,350881198709107824,四川省长沙县翔安乌鲁木齐街a座 948698,Lateral,,,-1,-1,0,,,0,,,,0,,,1
CheXpert-v1.0-small/train/patient00012/study1/view1_frontal.jpg,Kathleen,Female,55,13799866943,230103196904267651,海南省瑜县山亭向路x座 408579,Frontal,PA,,0,,,,,,,,,0,,,1
CheXpert-v1.0-small/train/patient00012/study1/view2_lateral.jpg,Heidi,Female,55,18140372862,231002196507240112,安徽省成都市滨城黄街S座 904291,Lateral,,,0,,,,,,,,,0,,,1
CheXpert-v1.0-small/train/patient00013/study1/view1_frontal.jpg,Thomas,Male,36,18038344198,310200198901175028,陕西省淑兰市沈河支路c座 577881,Frontal,PA,1,0,,,,,,,,,0,,,
CheXpert-v1.0-small/train/patient00013/study1/view2_lateral.jpg,Joseph,Male,36,13032154236,440785196412179328,广西壮族自治区浩市西峰宜都路m座 270930,Lateral,,1,0,,,,,,,,,0,,,
CheXpert-v1.0-small/train/patient00014/study1/view1_frontal.jpg,Patricia,Female,43,14518593448,140931195312166227,吉林省鹏市沙湾呼和浩特路x座 478939,Frontal,PA,,-1,,0,,,,,,0,0,,,
CheXpert-v1.0-small/train/patient00014/study1/view2_lateral.jpg,Tina,Female,43,18759911992,540101199711300957,海南省惠州市梁平谭街c座 739016,Lateral,,,-1,,0,,,,,,0,0,,,
CheXpert-v1.0-small/train/patient00015/study1/view1_frontal.jpg,Tracy,Female,76,15255663386,511824195106097620,江苏省桂英市山亭杨街j座 721105,Frontal,AP,,,,1,,1,,-1,,,,,,
CheXpert-v1.0-small/train/patient00015/study2/view1_frontal.jpg,Meryl,Female,76,18876927414,220403194206158277,河南省六盘水市清城侯路Z座 931450,Frontal,AP,,,,-1,,1,-1,,-1,,,,,
CheXpert-v1.0-small/train/patient00016/study1/view1_frontal.jpg,Madlyn,Female,54,15548446475,341204200302094244,吉林省武汉县长寿韦路H座 612642,Frontal,PA,,,,1,,,1,,,0,,1,1,
CheXpert-v1.0-small/train/patient00016/study1/view2_lateral.jpg,Theresa,Female,54,18299744972,532503199501225834,江西省文县吉区梧州路i座 532897,Lateral,,,,,1,,,1,,,0,,1,1,
CheXpert-v1.0-small/train/patient00017/study1/view1_frontal.jpg,Sun,Female,56,18998377656,140107199707166103,香港特别行政区广州县黄浦沈阳街K座 333084,Frontal,AP,1,,0,,,,,,,0,,,,1
CheXpert-v1.0-small/train/patient00017/study2/view1_frontal.jpg,Crystal,Female,56,14719072452,450222199305015056,青海省福州市朝阳北京街C座 735813,Frontal,AP,,-1,,,,1,-1,,,-1,-1,,,1
CheXpert-v1.0-small/train/patient00018/study1/view1_frontal.jpg,Keith,Male,44,18817928510,659003196603076289,河北省华县永川王路U座 585153,Frontal,PA,,0,,1,,0,0,,-1,0,1,,,
CheXpert-v1.0-small/train/patient00018/study1/view2_lateral.jpg,Stanley,Male,44,15284531720,632724194611102636,吉林省通辽市涪城合肥街F座 327715,Lateral,,,0,,1,,0,0,,-1,0,1,,,
CheXpert-v1.0-small/train/patient00019/study1/view1_frontal.jpg,Anne,Female,46,14799611814,430400194206092837,重庆市杰市涪城汕尾路o座 236579,Frontal,PA,,,,,1,,,,,0,,,,
CheXpert-v1.0-small/train/patient00019/study1/view2_lateral.jpg,Debra,Female,46,15308781001,350802193702236721,贵州省惠州县崇文庞街P座 458433,Lateral,,,,,,1,,,,,0,,,,
CheXpert-v1.0-small/train/patient00019/study4/view1_frontal.jpg,Rosemary,Female,50,15595541923,150426196712281847,山东省太原县东丽哈尔滨街d座 668772,Frontal,AP,,,1,1,1,,,,1,1,1,,,0
CheXpert-v1.0-small/train/patient00019/study3/view1_frontal.jpg,Marilyn,Female,46,18801623161,450621195609181771,陕西省上海市合川北京街J座 232328,Frontal,AP,,1,,,1,,1,,1,0,1,,,
CheXpert-v1.0-small/train/patient00019/study2/view1_frontal.jpg,Margie,Female,46,15328517788,150821199603035181,新疆维吾尔自治区建平市黄浦阮街t座 848198,Frontal,AP,,,,1,1,,-1,,-1,0,,,,0
CheXpert-v1.0-small/train/patient00020/study1/view1_frontal.jpg,Robert,Male,63,18656219090,341321198902137860,甘肃省北京县城北顾路N座 411687,Frontal,AP,,,,,,,,,,1,,,1,
CheXpert-v1.0-small/train/patient00021/study1/view1_frontal.jpg,Tracie,Female,36,13201760608,341600194602239191,海南省马鞍山市孝南金路S座 202878,Frontal,PA,1,,,,,,0,,,,,,,
CheXpert-v1.0-small/train/patient00022/study2/view1_frontal.jpg,Dolores,Female,55,14529007452,511303197605242212,四川省金凤市高港荆门街Z座 731713,Frontal,PA,,,,1,,,,,,1,1,,,
CheXpert-v1.0-small/train/patient00022/study2/view2_lateral.jpg,Rosalind,Female,55,18209056957,320303197811231075,山西省浩市秀英胡街b座 539736,Lateral,,,,,1,,,,,,1,1,,,
CheXpert-v1.0-small/train/patient00022/study1/view1_frontal.jpg,Anna,Female,55,18628083234,500120196208118160,辽宁省海门县永川柳州街R座 826574,Frontal,AP,,,,,,,,,,1,1,,,
CheXpert-v1.0-small/train/patient00023/study1/view1_frontal.jpg,Sam,Male,59,15013401743,371400193801104556,陕西省玉县璧山荆门街r座 381809,Frontal,PA,,,,,,,,,,,,,1,
CheXpert-v1.0-small/train/patient00023/study1/view2_lateral.jpg,Jason,Male,59,14706402420,430421194310171457,河南省广州市吉区帅街m座 468943,Lateral,,,,,,,,,,,,,,1,
CheXpert-v1.0-small/train/patient00023/study4/view1_frontal.jpg,David,Male,62,13521603914,350681193607039935,内蒙古自治区梧州县南湖贵阳街V座 856283,Frontal,PA,,,0,1,,,,,,,1,,,1
CheXpert-v1.0-small/train/patient00023/study4/view2_lateral.jpg,Herman,Male,62,18066326824,370303195306229505,江西省马鞍山市徐汇吴路Q座 388264,Lateral,,,,0,1,,,,,,,1,,,1
CheXpert-v1.0-small/train/patient00023/study11/view1_frontal.jpg,Graham,Male,68,13414869353,422828196804241844,福建省淑兰县门头沟凌街P座 916450,Frontal,PA,,,,1,,,-1,,,,1,,,
CheXpert-v1.0-small/train/patient00023/study11/view2_lateral.jpg,John,Male,68,15959402748,131123197310235967,广东省健市东城王路z座 670477,Lateral,,,,,1,,,-1,,,,1,,,
CheXpert-v1.0-small/train/patient00023/study2/view1_frontal.jpg,Robert,Male,62,18166596165,140429195507228118,湖南省霞市白云杨路H座 501338,Frontal,PA,,,,,,,,,,,1,,,
CheXpert-v1.0-small/train/patient00023/study2/view2_lateral.jpg,Samuel,Male,62,15381889218,610426195003210305,贵州省海燕市花溪苏路y座 109435,Lateral,,,,,,,,,,,,1,,,
CheXpert-v1.0-small/train/patient00023/study10/view1_frontal.jpg,Harold,Male,68,15182828239,130430200307272680,黑龙江省太原县沈河吴街v座 687536,Frontal,PA,,,,1,,,,,,,1,,,
CheXpert-v1.0-small/train/patient00023/study10/view2_lateral.jpg,Leroy,Male,68,15386848568,500242194002169784,湖北省秀荣市友好哈尔滨路I座 125888,Lateral,,,,,1,,,,,,,1,,,
CheXpert-v1.0-small/train/patient00023/study5/view1_frontal.jpg,Carlos,Male,63,18093785162,431103194409103026,广西壮族自治区西安市徐汇福州路g座 375142,Frontal,PA,1,,,0,,,,,,,0,,,
CheXpert-v1.0-small/train/patient00023/study5/view2_lateral.jpg,Jose,Male,63,13683891848,331022194809184494,澳门特别行政区六安市花溪沈阳路N座 711649,Lateral,,1,,,0,,,,,,,0,,,
CheXpert-v1.0-small/train/patient00023/study8/view1_frontal.jpg,Alex,Male,67,18970812402,150521195904274456,江西省海口市普陀永安街b座 638403,Frontal,PA,,,1,1,,0,,,1,,1,,,1
CheXpert-v1.0-small/train/patient00023/study8/view2_lateral.jpg,Jerry,Male,67,14743813307,450100196703235014,辽宁省六安县萧山太原路b座 880482,Lateral,,,,1,1,,0,,,1,,1,,,1
CheXpert-v1.0-small/train/patient00023/study6/view1_frontal.jpg,David,Male,67,18284901737,410503195709028517,上海市郑州县沈北新呼和浩特路J座 441417,Frontal,PA,,0,,,,,,,,,1,,,
CheXpert-v1.0-small/train/patient00023/study6/view2_lateral.jpg,Gary,Male,67,18854267456,450881196208222992,台湾省天津县魏都王路t座 536971,Lateral,,,0,,,,,,,,,1,,,
CheXpert-v1.0-small/train/patient00023/study9/view1_frontal.jpg,Joshua,Male,67,18889906269,43122419970716015X,湖南省宇市西夏重庆街U座 480877,Frontal,PA,,,-1,1,1,,-1,,-1,,1,,,1
CheXpert-v1.0-small/train/patient00023/study9/view2_lateral.jpg,Timothy,Male,67,15220071480,51010519900327062X,广西壮族自治区呼和浩特县东丽崔街K座 501867,Lateral,,,,-1,1,1,,-1,,-1,,1,,,1
CheXpert-v1.0-small/train/patient00023/study3/view1_frontal.jpg,Eric,Male,62,18674473656,440608198407237184,河南省丽丽县西峰沈阳街Y座 412824,Frontal,AP,,,,1,,,,-1,,,1,,,
CheXpert-v1.0-small/train/patient00023/study7/view1_frontal.jpg,Joey,Male,67,13104079920,450900198806301101,广西壮族自治区丽丽县合川柳州街u座 503243,Frontal,AP,,,,1,,,,,1,0,1,1,,1
CheXpert-v1.0-small/train/patient00024/study2/view1_frontal.jpg,Vikki,Female,78,15261695294,340000197507046287,宁夏回族自治区超市上街朱路I座 974025,Frontal,PA,,,,,,,0,,1,0,,,,
CheXpert-v1.0-small/train/patient00024/study2/view2_lateral.jpg,Susan,Female,78,15972191186,632723199404185674,湖北省六安县平山石路J座 113309,Lateral,,,,,,,,0,,1,0,,,,
CheXpert-v1.0-small/train/patient00024/study1/view1_frontal.jpg,Irma,Female,78,13313952841,350500194211119104,吉林省嘉禾县城东沈阳路J座 949520,Frontal,AP,,-1,,1,,,,,1,0,,,,1
CheXpert-v1.0-small/train/patient00025/study2/view1_frontal.jpg,Anthony,Male,64,14536104984,430481194604059977,广西壮族自治区健县平山长沙路U座 296664,Frontal,PA,,-1,,1,,,,,1,1,1,,,
CheXpert-v1.0-small/train/patient00025/study2/view2_lateral.jpg,John,Male,64,15817978907,232700195412313018,河南省张家港市清河海门路e座 526701,Lateral,,,-1,,1,,,,,1,1,1,,,
CheXpert-v1.0-small/train/patient00025/study1/view1_frontal.jpg,Justin,Male,64,13941788940,341524197608059115,甘肃省长春县城东宁德街z座 123629,Frontal,PA,1,,0,,,,,,,0,0,,,
CheXpert-v1.0-small/train/patient00025/study1/view2_lateral.jpg,Kenneth,Male,64,18126891011,431081198902251948,宁夏回族自治区海门县涪城袁路H座 745748,Lateral,,1,,0,,,,,,,0,0,,,
CheXpert-v1.0-small/train/patient00026/study1/view1_frontal.jpg,Emily,Female,42,13538816330,330702195211235708,云南省太原县房山梧州街W座 965090,Frontal,PA,,,,,,,1,,1,,,,,
CheXpert-v1.0-small/train/patient00026/study1/view2_lateral.jpg,Shery,Female,42,18609417337,361126199103150451,北京市淮安市孝南龚路d座 733999,Lateral,,,,,,,,1,,1,,,,,
CheXpert-v1.0-small/train/patient00027/study1/view1_frontal.jpg,Randall,Male,56,13206226302,150726193708214150,内蒙古自治区琴县涪城冯街X座 158504,Frontal,PA,,0,,1,,,0,,1,0,0,,,
CheXpert-v1.0-small/train/patient00027/study1/view2_lateral.jpg,Clifford,Male,56,13878716384,230715195502026381,上海市琳市沈北新周街D座 657268,Lateral,,,0,,1,,,0,,1,0,0,,,
CheXpert-v1.0-small/train/patient00028/study1/view1_frontal.jpg,Jerry,Male,70,15647071866,220113197801081331,四川省太原市沈北新深圳路w座 623875,Frontal,PA,,0,,-1,,,0,,-1,0,0,,,
CheXpert-v1.0-small/train/patient00028/study2/view1_frontal.jpg,Raymond,Male,71,14526458966,42028119980801237X,浙江省六安县长寿刘路b座 921848,Frontal,AP,,,0,,,,0,,1,,0,,,
CheXpert-v1.0-small/train/patient00029/study1/view1_frontal.jpg,Linda,Female,37,13154594697,610426194408273625,广东省淮安市安次乌鲁木齐街S座 401653,Frontal,AP,,,,1,,,,,-1,0,,,,1
CheXpert-v1.0-small/train/patient00030/study1/view1_frontal.jpg,Alan,Male,74,13851655817,500102200203161043,江西省帆县蓟州关岭路l座 497534,Frontal,AP,1,0,,0,,0,,,,,0,,,1
CheXpert-v1.0-small/train/patient00031/study1/view1_frontal.jpg,Robert,Male,88,15374355518,370285197701309757,河南省贵阳县和平张街V座 443536,Frontal,AP,,,,1,,1,,,-1,,,,,1
CheXpert-v1.0-small/train/patient00031/study3/view1_frontal.jpg,Todd,Male,89,13688995540,632600196508015975,上海市兵市海陵何路X座 956547,Frontal,AP,,,,,,,,,,,1,,,
CheXpert-v1.0-small/train/patient00031/study2/view1_frontal.jpg,Robert,Male,88,15527422206,51052119980128565X,甘肃省长沙县长寿张路J座 675574,Frontal,AP,,-1,,1,,0,,,1,0,,,,
CheXpert-v1.0-small/train/patient00032/study1/view1_frontal.jpg,Roy,Male,63,14727751122,440523198903101698,海南省峰县长寿荣路V座 668378,Frontal,PA,1,0,,,,,,,,0,0,,,
CheXpert-v1.0-small/train/patient00032/study1/view2_lateral.jpg,Thomas,Male,63,13670609626,152202200103084038,四川省梧州县浔阳惠州街e座 253820,Lateral,,1,0,,,,,,,,0,0,,,
CheXpert-v1.0-small/train/patient00033/study1/view1_frontal.jpg,Julie,Female,85,15255636060,32098119561012345X,台湾省想市璧山杨路S座 242640,Frontal,AP,,,,-1,,,,,,0,-1,,-1,1
CheXpert-v1.0-small/train/patient00034/study1/view1_frontal.jpg,Brent,Male,45,14517237925,445222200403064829,宁夏回族自治区齐齐哈尔市双滦欧阳街l座 973938,Frontal,AP,,,,1,,-1,,-1,,,,,,
CheXpert-v1.0-small/train/patient00035/study2/view1_frontal.jpg,Andrew,Male,60,15978410950,220202195808253551,海南省南宁县高明梁街i座 342253,Frontal,PA,,,,1,,,,-1,-1,,,,,
CheXpert-v1.0-small/train/patient00035/study2/view2_lateral.jpg,Joseph,Male,60,14515523835,231025196304212626,云南省哈尔滨县海陵张家港街e座 198783,Lateral,,,,,1,,,,-1,-1,,,,,
CheXpert-v1.0-small/train/patient00035/study1/view1_frontal.jpg,John,Male,60,13067101077,350601200508082939,河北省齐齐哈尔县安次西安路T座 525977,Frontal,PA,,0,,,1,,,,,,0,,,1
CheXpert-v1.0-small/train/patient00035/study1/view2_lateral.jpg,Kevin,Male,60,13314309916,410303197207128057,山东省银川县和平齐齐哈尔路r座 374587,Lateral,,,0,,,1,,,,,,0,,,1
CheXpert-v1.0-small/train/patient00036/study1/view1_frontal.jpg,Billy,Male,63,18927467383,511100197009267966,云南省兴城县海港石家庄路r座 814121,Frontal,AP,,0,,1,,0,,,,,,,,
CheXpert-v1.0-small/train/patient00037/study1/view1_frontal.jpg,Jessie,Female,63,18143660269,220202194109305274,安徽省宁德市长寿淮安街T座 841636,Frontal,PA,,,0,,-1,,0,,,,0,,,
CheXpert-v1.0-small/train/patient00037/study1/view2_lateral.jpg,Rebecca,Female,63,15550890955,63022419930701060X,浙江省淮安市花溪靳街J座 822937,Lateral,,,,0,,-1,,0,,,,0,,,
CheXpert-v1.0-small/train/patient00038/study1/view1_frontal.jpg,Jerry,Male,78,15805440191,410104195806220337,江苏省成都市孝南董街A座 804005,Frontal,AP,,,,1,,,,,1,0,1,,,1
CheXpert-v1.0-small/train/patient00038/study2/view1_frontal.jpg,Paul,Male,78,18066004676,430204195203041099,天津市林县萧山向路w座 349932,Frontal,AP,,,,1,,,,,1,,1,,,1
CheXpert-v1.0-small/train/patient00038/study3/view1_frontal.jpg,John,Male,78,15104689266,410201199403037516,澳门特别行政区西宁市合川永安街Q座 923400,Frontal,AP,,,,1,,,,,,,1,,,1
CheXpert-v1.0-small/train/patient00039/study8/view1_frontal.jpg,Clara,Female,37,13462871454,450804194804308547,吉林省娟县东城胡街j座 888660,Frontal,AP,,,,1,,,-1,,-1,1,1,,,
CheXpert-v1.0-small/train/patient00039/study1/view1_frontal.jpg,Marjorie,Female,37,18721128650,440781200012213121,甘肃省永安县江北傅路X座 494409,Frontal,PA,,,,,,1,0,,,,1,,,
CheXpert-v1.0-small/train/patient00039/study1/view2_lateral.jpg,Minerva,Female,37,14539901241,150600197602230194,广东省静县江北银川路d座 993914,Lateral,,,,,,,1,0,,,,1,,,
CheXpert-v1.0-small/train/patient00039/study10/view1_frontal.jpg,Priscilla,Female,38,18637619983,652325198102234119,广东省大冶县丰都佛山路i座 318103,Frontal,AP,,,,,,,,,,0,,1,,1
CheXpert-v1.0-small/train/patient00039/study4/view1_frontal.jpg,Jean,Female,37,18153782675,341523195612296142,河南省岩市和平太原路D座 682376,Frontal,AP,,,,1,,,,,,1,1,,,1
CheXpert-v1.0-small/train/patient00039/study3/view1_frontal.jpg,Jennifer,Female,37,15168484016,140830198406054594,台湾省潜江市南长钱街e座 569549,Frontal,AP,,-1,,-1,,,,,1,1,,,1,0
CheXpert-v1.0-small/train/patient00039/study7/view1_frontal.jpg,Linda,Female,37,13337546303,522628198601167949,山东省太原市双滦陈路U座 388676,Frontal,AP,,,,1,,,-1,,-1,1,1,,,
CheXpert-v1.0-small/train/patient00039/study9/view1_frontal.jpg,Mary,Female,37,18731030276,350702195810073302,西藏自治区荆门市平山济南路G座 371043,Frontal,AP,,-1,,1,,,,,,1,-1,,1,1
CheXpert-v1.0-small/train/patient00039/study6/view1_frontal.jpg,Irene,Female,37,15537832686,630123199609248048,海南省燕县花溪王街A座 145399,Frontal,AP,,,,1,,,,,,1,,,,1
CheXpert-v1.0-small/train/patient00039/study5/view1_frontal.jpg,Melissa,Female,37,13127103000,522322194503203421,云南省贵阳县金平海口路B座 726373,Frontal,AP,,,,1,,,,,,1,1,,,1
CheXpert-v1.0-small/train/patient00039/study2/view1_frontal.jpg,Yolanda,Female,37,14775765777,410611196704218805,江苏省梧州市永川方路E座 758254,Frontal,AP,,-1,,,,,,,1,1,,1,,1
CheXpert-v1.0-small/train/patient00040/study1/view1_frontal.jpg,Richard,Male,69,15878119560,420504198304074840,广西壮族自治区宜都县东城任街c座 800415,Frontal,AP,,,,,,,,,,1,,,1,
CheXpert-v1.0-small/train/patient00041/study1/view1_frontal.jpg,Charles,Male,83,15866982621,654325199909283532,福建省通辽市西夏重庆街Z座 387010,Frontal,PA,,,0,,,,,,,,0,,,
CheXpert-v1.0-small/train/patient00041/study1/view2_lateral.jpg,Robert,Male,83,13101192864,331126197904172584,香港特别行政区哈尔滨市永川东莞路L座 767115,Lateral,,,,0,,,,,,,,0,,,
CheXpert-v1.0-small/train/patient00042/study1/view1_frontal.jpg,Michael,Male,75,14566571304,610831196402024144,江苏省倩市兴山陈路M座 144817,Frontal,PA,,,0,,,,0,,,0,0,,,
CheXpert-v1.0-small/train/patient00042/study1/view2_lateral.jpg,Gregory,Male,75,13506989976,411221197301290737,甘肃省娜市怀柔太原路y座 441847,Lateral,,,,0,,,,0,,,0,0,,,
CheXpert-v1.0-small/train/patient00043/study1/view1_frontal.jpg,Peter,Male,38,13700081419,511900195711164937,安徽省广州市蓟州合山街s座 285310,Frontal,PA,1,0,0,,,,0,,,,0,,,
CheXpert-v1.0-small/train/patient00043/study1/view2_lateral.jpg,Danny,Male,38,15240551953,130636199607141125,安徽省长春市涪城武汉街j座 743535,Lateral,,1,0,0,,,,0,,,,0,,,
CheXpert-v1.0-small/train/patient00043/study2/view1_frontal.jpg,Royal,Male,42,15863715060,130726197710118728,辽宁省阜新县大东巢湖街v座 631706,Frontal,AP,,,1,1,,1,,,,0,,,,1
CheXpert-v1.0-small/train/patient00043/study3/view1_frontal.jpg,Jason,Male,42,13980964824,542526197401067792,河南省杰县滨城齐街L座 391887,Frontal,AP,,,1,1,,1,,,,,,,,1
